Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PlayerID,AstPer90,G+APer90,GlsPer90,G-PKPer90,G+A-PKPer90,SecondPos
1,Mohamed Abdel-Shafy,DF,eg Egypt,32,1985,3,3,270,3.0,0,0,0,0,0,0,0,0,f948de7f,0.0,0.0,0.0,0.0,0.0,N/A
2,Shehu Abdullahi,DF,ng Nigeria,25,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,7ecc9dee,0.0,0.0,0.0,0.0,0.0,N/A
3,Johnny Acosta,DF,cr Costa Rica,34,1983,3,3,270,3.0,0,0,0,0,0,0,1,0,6aaf0284,0.0,0.0,0.0,0.0,0.0,N/A
4,Marcos Acuña,MF,ar Argentina,26,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,81442ecb,0.0,0.0,0.0,0.0,0.0,N/A
5,Luis Advíncula,DF,pe Peru,28,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,cacadf4f,0.0,0.0,0.0,0.0,0.0,N/A
6,Sergio Agüero,FW,ar Argentina,30,1988,4,2,179,2.0,2,0,2,2,0,0,0,0,4d034881,0.0,1.01,1.01,1.01,1.01,N/A
7,Abel Aguilar,MF,co Colombia,33,1985,1,1,31,0.3,0,0,0,0,0,0,0,0,6936b41b,0.0,0.0,0.0,0.0,0.0,N/A
8,Karim El Ahmadi,MF,ma Morocco,33,1985,3,3,265,2.9,0,0,0,0,0,0,2,0,0ff9eabc,0.0,0.0,0.0,0.0,0.0,N/A
9,Manuel Akanji,DF,ch Switzerland,22,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,89ac64a6,0.0,0.0,0.0,0.0,0.0,N/A
10,Igor Akinfeev,GK,ru Russia,32,1986,5,5,510,5.7,0,0,0,0,0,0,0,0,42ec696a,0.0,0.0,0.0,0.0,0.0,N/A
11,Jordi Alba,DF,es Spain,29,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,4601e194,0.0,0.0,0.0,0.0,0.0,N/A
12,Thiago Alcántara,MF,es Spain,27,1991,2,1,94,1.0,0,0,0,0,0,0,0,0,77e84962,0.0,0.0,0.0,0.0,0.0,N/A
13,Toby Alderweireld,DF,be Belgium,29,1989,6,6,540,6.0,0,1,1,0,0,0,2,0,f7d50789,0.17,0.17,0.0,0.0,0.17,N/A
14,Trent Alexander-Arnold,MF,eng England,19,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,cd1acf9d,0.0,0.0,0.0,0.0,0.0,N/A
15,Alisson,GK,br Brazil,25,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,7a2e46a8,0.0,0.0,0.0,0.0,0.0,N/A
16,Dele Alli,MF,eng England,22,1996,5,4,362,4.0,1,0,1,1,0,0,0,0,cea4ee8f,0.0,0.25,0.25,0.25,0.25,N/A
17,Edson Álvarez,DF,mx Mexico,20,1997,4,3,267,3.0,0,0,0,0,0,0,1,0,8b3ab7ad,0.0,0.0,0.0,0.0,0.0,N/A
18,Michael Amir Murillo,DF,pa Panama,22,1996,2,2,180,2.0,0,0,0,0,0,0,2,0,349cae8f,0.0,0.0,0.0,0.0,0.0,N/A
19,Vahid Amiri,FW,ir IR Iran,30,1988,3,3,265,2.9,0,0,0,0,0,0,1,0,750cc65b,0.0,0.0,0.0,0.0,0.0,MF
20,Nordin Amrabat,MF,ma Morocco,31,1987,3,3,255,2.8,0,0,0,0,0,0,1,0,7c2a398c,0.0,0.0,0.0,0.0,0.0,FW
21,Sofyan Amrabat,DF,ma Morocco,21,1996,1,0,15,0.2,0,0,0,0,0,0,0,0,5a2cb25d,0.0,0.0,0.0,0.0,0.0,MF
22,Karim Ansarifard,MF,ir IR Iran,28,1990,3,2,179,2.0,1,0,1,0,1,1,1,0,50cddd19,0.0,0.5,0.5,0.0,0.0,N/A
23,Pedro Aquino,MF,pe Peru,23,1995,3,1,139,1.5,0,0,0,0,0,0,1,0,c4bfc6c5,0.0,0.0,0.0,0.0,0.0,N/A
24,Santiago Arias,DF,co Colombia,26,1992,4,4,385,4.3,0,0,0,0,0,0,1,0,fdd60087,0.0,0.0,0.0,0.0,0.0,N/A
25,Franco Armani,GK,ar Argentina,31,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,b3e42951,0.0,0.0,0.0,0.0,0.0,N/A
26,Kári Árnason,DF,is Iceland,35,1982,2,2,180,2.0,0,0,0,0,0,0,0,0,7603aa77,0.0,0.0,0.0,0.0,0.0,N/A
27,Giorgian de Arrascaeta,MF,uy Uruguay,24,1994,2,1,86,1.0,0,0,0,0,0,0,0,0,be8d02dd,0.0,0.0,0.0,0.0,0.0,N/A
28,Abdiel Arroyo,FW,pa Panama,24,1993,2,0,32,0.4,0,0,0,0,0,0,0,0,661c4991,0.0,0.0,0.0,0.0,0.0,N/A
29,Daniel Arzani,FW,au Australia,19,1999,3,0,63,0.7,0,0,0,0,0,0,1,0,cd512214,0.0,0.0,0.0,0.0,0.0,MF
30,Marco Asensio,MF,es Spain,22,1996,3,1,132,1.5,0,0,0,0,0,0,0,0,45af8a54,0.0,0.0,0.0,0.0,0.0,N/A
31,Iago Aspas,FW,es Spain,30,1987,3,0,72,0.8,1,0,1,1,0,0,0,0,7dcf86f6,0.0,1.25,1.25,1.25,1.25,MF
32,Muhannad Assiri,FW,sa Saudi Arabia,31,1986,2,0,33,0.4,0,0,0,0,0,0,0,0,e64f7470,0.0,0.0,0.0,0.0,0.0,MF
33,Ludwig Augustinsson,DF,se Sweden,24,1994,5,5,450,5.0,1,0,1,1,0,0,0,0,9fec8860,0.0,0.2,0.2,0.2,0.2,N/A
34,Renato Augusto,MF,br Brazil,30,1988,3,0,53,0.6,1,0,1,1,0,0,0,0,83a6367a,0.0,1.7,1.7,1.7,1.7,N/A
